timestamp,emotion,confidence
2026-04-23T17:11:27.537,Neutral,0.3884
2026-04-23T17:11:27.554,Fear,0.9994
2026-04-23T17:11:27.686,Neutral,0.6620
2026-04-23T17:11:27.806,Neutral,0.6140
2026-04-23T17:11:27.915,Neutral,0.8847
2026-04-23T17:11:27.931,Neutral,0.9993
2026-04-23T17:11:28.067,Neutral,0.6148
2026-04-23T17:11:28.083,Neutral,0.9999
2026-04-23T17:11:28.158,Fear,0.9994
2026-04-23T17:11:28.205,Neutral,0.4672
2026-04-23T17:11:28.308,Neutral,0.8114
2026-04-23T17:11:28.324,Fear,0.9995
2026-04-23T17:11:28.426,Happy,0.7438
2026-04-23T17:11:28.439,Fear,0.8363
2026-04-23T17:11:28.559,Happy,0.9307
2026-04-23T17:11:28.576,Fear,0.9994
2026-04-23T17:11:28.591,Fear,0.9858
2026-04-23T17:11:28.703,Happy,0.9865
2026-04-23T17:11:28.790,Happy,0.9929
2026-04-23T17:11:28.885,Happy,0.9932
2026-04-23T17:11:29.022,Happy,0.9860
2026-04-23T17:11:29.037,Fear,0.9991
2026-04-23T17:11:29.146,Happy,0.9982
2026-04-23T17:11:29.247,Happy,0.9926
2026-04-23T17:11:29.381,Happy,0.9929
2026-04-23T17:11:29.396,Fear,0.9994
2026-04-23T17:11:29.413,Fear,0.9995
2026-04-23T17:11:29.521,Happy,0.9991
2026-04-23T17:11:29.537,Fear,0.9994
2026-04-23T17:11:29.550,Fear,0.9996
2026-04-23T17:11:29.646,Happy,0.9854
2026-04-23T17:11:29.659,Fear,0.9994
2026-04-23T17:11:29.674,Fear,0.9995
2026-04-23T17:11:29.796,Happy,0.9921
2026-04-23T17:11:29.810,Fear,0.9994
2026-04-23T17:11:29.904,Happy,0.9743
2026-04-23T17:11:29.919,Fear,0.9995
2026-04-23T17:11:30.002,Happy,0.9922
2026-04-23T17:11:30.018,Fear,0.9995
2026-04-23T17:11:30.119,Happy,0.6520
2026-04-23T17:11:30.236,Sad,0.4527
2026-04-23T17:11:30.249,Neutral,0.7557
2026-04-23T17:11:30.345,Neutral,0.7527
2026-04-23T17:11:30.364,Fear,0.9987
2026-04-23T17:11:30.513,Neutral,0.6732
2026-04-23T17:11:30.526,Fear,0.9994
2026-04-23T17:11:30.542,Fear,0.9411
2026-04-23T17:11:30.674,Neutral,0.6822
2026-04-23T17:11:30.772,Neutral,0.7228
2026-04-23T17:11:30.787,Fear,0.9993
2026-04-23T17:11:30.801,Neutral,0.8908
2026-04-23T17:11:30.820,Fear,0.9737
2026-04-23T17:11:30.931,Neutral,0.5371
2026-04-23T17:11:30.948,Fear,0.9995
2026-04-23T17:11:31.052,Neutral,0.5159
2026-04-23T17:11:31.182,Sad,0.3394
2026-04-23T17:11:31.195,Neutral,0.8454
2026-04-23T17:11:31.296,Fear,0.5049
2026-04-23T17:11:31.310,Fear,0.9995
2026-04-23T17:11:31.324,Neutral,0.8290
2026-04-23T17:11:31.419,Sad,0.4330
2026-04-23T17:11:31.546,Sad,0.4206
2026-04-23T17:11:31.564,Fear,0.9983
2026-04-23T17:11:31.666,Sad,0.2911
2026-04-23T17:11:31.681,Fear,0.9988
2026-04-23T17:11:31.697,Fear,0.9994
2026-04-23T17:11:31.803,Fear,0.4562
2026-04-23T17:11:31.906,Fear,0.4618
2026-04-23T17:11:31.921,Fear,0.9994
2026-04-23T17:11:32.055,Fear,0.4035
2026-04-23T17:11:32.147,Fear,0.4681
2026-04-23T17:11:32.235,Angry,0.3245
2026-04-23T17:11:32.348,Fear,0.4446
2026-04-23T17:11:32.363,Fear,0.9994
2026-04-23T17:11:32.493,Fear,0.3898
2026-04-23T17:11:32.577,Fear,0.3548
2026-04-23T17:11:32.673,Fear,0.3299
2026-04-23T17:11:32.686,Fear,0.9994
2026-04-23T17:11:32.776,Fear,0.3857
2026-04-23T17:11:32.790,Fear,0.9994
2026-04-23T17:11:32.918,Neutral,0.2995
2026-04-23T17:11:33.003,Sad,0.2845
2026-04-23T17:11:33.095,Fear,0.3437
2026-04-23T17:11:33.111,Fear,0.9994
2026-04-23T17:11:33.125,Fear,0.9967
2026-04-23T17:11:33.231,Neutral,0.3513
2026-04-23T17:11:33.245,Neutral,0.9834
2026-04-23T17:11:33.344,Fear,0.3853
2026-04-23T17:11:33.443,Fear,0.4858
2026-04-23T17:11:33.545,Fear,0.4229
2026-04-23T17:11:33.642,Fear,0.4324
2026-04-23T17:11:33.655,Fear,0.9994
2026-04-23T17:11:33.678,Neutral,0.4469
2026-04-23T17:11:33.692,Fear,0.9993
2026-04-23T17:11:33.795,Fear,0.4148
2026-04-23T17:11:33.810,Fear,0.9995
2026-04-23T17:11:33.926,Fear,0.4448
2026-04-23T17:11:33.940,Fear,0.9994
2026-04-23T17:11:33.964,Sad,0.2631
2026-04-23T17:11:34.067,Surprise,0.9657
2026-04-23T17:11:34.082,Fear,0.9994
2026-04-23T17:11:34.224,Surprise,0.9985
2026-04-23T17:11:34.239,Fear,0.9995
2026-04-23T17:11:34.254,Happy,0.9945
2026-04-23T17:11:34.353,Surprise,0.9935
2026-04-23T17:11:34.367,Fear,0.9994
