timestamp,emotion,confidence
2026-04-23T17:15:53.040,Happy,0.5152
2026-04-23T17:15:53.142,Neutral,0.7204
2026-04-23T17:15:53.200,Fear,0.7477
2026-04-23T17:15:53.258,Sad,0.4265
2026-04-23T17:15:53.319,Fear,0.8375
2026-04-23T17:15:53.387,Sad,0.5019
2026-04-23T17:15:53.405,Fear,0.9991
2026-04-23T17:15:53.524,Sad,0.3727
2026-04-23T17:15:53.658,Happy,0.6743
2026-04-23T17:15:53.672,Fear,0.7901
2026-04-23T17:15:53.795,Happy,0.8277
2026-04-23T17:15:53.870,Happy,0.9735
2026-04-23T17:15:53.954,Happy,0.9831
2026-04-23T17:15:54.075,Happy,0.9807
2026-04-23T17:15:54.156,Happy,0.9989
2026-04-23T17:15:54.231,Happy,0.9956
2026-04-23T17:15:54.307,Happy,0.9999
2026-04-23T17:15:54.319,Fear,0.9994
2026-04-23T17:15:54.420,Happy,0.9940
2026-04-23T17:15:54.504,Happy,0.9996
2026-04-23T17:15:54.628,Happy,0.9982
2026-04-23T17:15:54.747,Happy,0.9952
2026-04-23T17:15:54.837,Happy,0.9984
2026-04-23T17:15:54.926,Happy,0.9938
2026-04-23T17:15:54.975,Fear,0.9995
2026-04-23T17:15:55.022,Happy,0.9970
2026-04-23T17:15:55.034,Fear,0.9995
2026-04-23T17:15:55.122,Happy,0.9986
2026-04-23T17:15:55.137,Fear,0.9995
2026-04-23T17:15:55.195,Fear,0.8533
2026-04-23T17:15:55.246,Happy,0.9979
2026-04-23T17:15:55.261,Fear,0.9996
2026-04-23T17:15:55.323,Fear,0.9994
2026-04-23T17:15:55.375,Happy,0.9918
2026-04-23T17:15:55.392,Fear,0.9995
2026-04-23T17:15:55.498,Happy,0.9930
2026-04-23T17:15:55.515,Fear,0.9996
2026-04-23T17:15:55.604,Happy,0.9993
2026-04-23T17:15:55.620,Fear,0.9996
2026-04-23T17:15:55.717,Happy,0.9967
2026-04-23T17:15:55.733,Fear,0.9996
2026-04-23T17:15:55.821,Happy,0.9911
2026-04-23T17:15:55.904,Happy,0.9892
2026-04-23T17:15:55.992,Happy,0.9960
2026-04-23T17:15:56.071,Happy,0.9951
2026-04-23T17:15:56.188,Happy,0.9974
2026-04-23T17:15:56.287,Happy,0.9986
2026-04-23T17:15:56.343,Neutral,0.9318
2026-04-23T17:15:56.390,Happy,0.9982
2026-04-23T17:15:56.514,Happy,0.9686
2026-04-23T17:15:56.528,Fear,0.9995
2026-04-23T17:15:56.649,Happy,0.9984
2026-04-23T17:15:56.741,Happy,0.9815
2026-04-23T17:15:56.757,Fear,0.9995
2026-04-23T17:15:56.840,Fear,0.8798
2026-04-23T17:15:56.897,Neutral,0.3985
2026-04-23T17:15:56.910,Fear,0.9996
2026-04-23T17:15:57.030,Surprise,0.9960
2026-04-23T17:15:57.088,Fear,0.9995
2026-04-23T17:15:57.136,Surprise,0.9952
2026-04-23T17:15:57.242,Surprise,0.9934
2026-04-23T17:15:57.365,Surprise,0.9834
2026-04-23T17:15:57.378,Fear,0.9995
2026-04-23T17:15:57.517,Surprise,0.9763
2026-04-23T17:15:57.579,Fear,0.9996
2026-04-23T17:15:57.640,Surprise,0.9862
2026-04-23T17:15:57.760,Surprise,0.9801
2026-04-23T17:15:57.856,Surprise,0.9868
2026-04-23T17:15:57.985,Surprise,0.9464
2026-04-23T17:15:58.102,Surprise,0.9603
2026-04-23T17:15:58.210,Sad,0.9882
2026-04-23T17:15:58.313,Sad,0.9921
2026-04-23T17:15:58.401,Sad,0.9780
2026-04-23T17:15:58.498,Sad,0.9888
2026-04-23T17:15:58.589,Sad,0.9615
2026-04-23T17:15:58.704,Surprise,0.9979
2026-04-23T17:15:58.834,Surprise,0.9986
2026-04-23T17:15:58.954,Surprise,0.9969
2026-04-23T17:15:59.050,Surprise,0.9883
2026-04-23T17:15:59.065,Fear,0.9996
2026-04-23T17:15:59.162,Surprise,0.9956
2026-04-23T17:15:59.177,Fear,0.9994
2026-04-23T17:15:59.278,Surprise,0.9821
2026-04-23T17:15:59.366,Sad,0.4645
2026-04-23T17:15:59.493,Sad,0.5308
2026-04-23T17:15:59.586,Neutral,0.4376
2026-04-23T17:15:59.674,Fear,0.9995
2026-04-23T17:15:59.731,Angry,0.4324
2026-04-23T17:15:59.843,Sad,0.4308
2026-04-23T17:15:59.857,Fear,0.9996
2026-04-23T17:15:59.976,Sad,0.4932
2026-04-23T17:15:59.990,Fear,0.9995
2026-04-23T17:16:00.065,Sad,0.4038
2026-04-23T17:16:00.145,Sad,0.4261
2026-04-23T17:16:00.233,Sad,0.3994
2026-04-23T17:16:00.348,Sad,0.4840
2026-04-23T17:16:00.427,Sad,0.5479
2026-04-23T17:16:00.487,Fear,0.9995
2026-04-23T17:16:00.532,Sad,0.4456
2026-04-23T17:16:00.617,Fear,0.9995
2026-04-23T17:16:00.672,Sad,0.4156
2026-04-23T17:16:00.686,Sad,0.6120
2026-04-23T17:16:00.780,Neutral,0.3856
2026-04-23T17:16:00.796,Fear,0.9996
2026-04-23T17:16:00.924,Neutral,0.4305
2026-04-23T17:16:00.981,Fear,0.9995
2026-04-23T17:16:01.036,Sad,0.3712
2026-04-23T17:16:01.154,Sad,0.3844
2026-04-23T17:16:01.228,Neutral,0.7879
2026-04-23T17:16:01.280,Sad,0.3467
2026-04-23T17:16:01.381,Sad,0.3989
2026-04-23T17:16:01.501,Sad,0.3751
2026-04-23T17:16:01.515,Fear,0.9995
2026-04-23T17:16:01.636,Sad,0.3928
2026-04-23T17:16:01.757,Neutral,0.3756
2026-04-23T17:16:01.847,Neutral,0.5910
2026-04-23T17:16:01.946,Sad,0.3908
2026-04-23T17:16:02.002,Fear,0.8996
2026-04-23T17:16:02.048,Sad,0.3667
2026-04-23T17:16:02.161,Neutral,0.3839
2026-04-23T17:16:02.175,Fear,0.9994
2026-04-23T17:16:02.233,Happy,0.8992
2026-04-23T17:16:02.248,Fear,0.9997
2026-04-23T17:16:02.301,Sad,0.3964
2026-04-23T17:16:02.357,Neutral,0.5492
2026-04-23T17:16:02.406,Sad,0.4224
2026-04-23T17:16:02.420,Fear,0.9996
2026-04-23T17:16:02.551,Sad,0.3829
2026-04-23T17:16:02.631,Happy,0.7259
2026-04-23T17:16:02.675,Neutral,0.4865
2026-04-23T17:16:02.792,Sad,0.5213
2026-04-23T17:16:02.806,Fear,0.9996
2026-04-23T17:16:02.895,Sad,0.4105
2026-04-23T17:16:02.970,Neutral,0.5048
2026-04-23T17:16:03.021,Fear,0.9997
2026-04-23T17:16:03.065,Neutral,0.4566
2026-04-23T17:16:03.142,Neutral,0.5731
2026-04-23T17:16:03.259,Neutral,0.6189
2026-04-23T17:16:03.361,Neutral,0.5535
2026-04-23T17:16:03.375,Fear,0.9996
2026-04-23T17:16:03.507,Sad,0.4158
2026-04-23T17:16:03.589,Neutral,0.6381
2026-04-23T17:16:03.603,Fear,0.9996
2026-04-23T17:16:03.675,Fear,0.8727
2026-04-23T17:16:03.727,Neutral,0.5766
2026-04-23T17:16:03.852,Sad,0.6366
2026-04-23T17:16:03.869,Fear,0.9996
2026-04-23T17:16:03.971,Sad,0.6233
2026-04-23T17:16:04.067,Neutral,0.6065
2026-04-23T17:16:04.165,Sad,0.5353
2026-04-23T17:16:04.179,Fear,0.9994
2026-04-23T17:16:04.277,Sad,0.6047
2026-04-23T17:16:04.367,Sad,0.5870
2026-04-23T17:16:04.382,Fear,0.9996
2026-04-23T17:16:04.471,Sad,0.3920
2026-04-23T17:16:04.588,Sad,0.4583
2026-04-23T17:16:04.647,Fear,0.9995
2026-04-23T17:16:04.704,Sad,0.4634
2026-04-23T17:16:04.823,Sad,0.4195
2026-04-23T17:16:04.922,Sad,0.3819
2026-04-23T17:16:04.938,Fear,0.9996
2026-04-23T17:16:05.034,Sad,0.4147
2026-04-23T17:16:05.121,Sad,0.4047
2026-04-23T17:16:05.135,Fear,0.9994
2026-04-23T17:16:05.221,Sad,0.4434
2026-04-23T17:16:05.311,Sad,0.4575
2026-04-23T17:16:05.325,Fear,0.9995
2026-04-23T17:16:05.416,Neutral,0.5461
2026-04-23T17:16:05.525,Sad,0.3868
2026-04-23T17:16:05.633,Sad,0.3959
2026-04-23T17:16:05.719,Fear,0.9995
2026-04-23T17:16:05.783,Happy,0.9493
2026-04-23T17:16:05.887,Happy,0.9922
2026-04-23T17:16:05.996,Happy,0.9950
2026-04-23T17:16:06.089,Happy,0.9979
2026-04-23T17:16:06.213,Happy,0.9992
2026-04-23T17:16:06.332,Happy,0.9995
2026-04-23T17:16:06.422,Happy,0.9993
2026-04-23T17:16:06.498,Happy,0.9995
2026-04-23T17:16:06.582,Fear,0.9995
2026-04-23T17:16:06.632,Happy,0.9948
2026-04-23T17:16:06.716,Neutral,0.4013
2026-04-23T17:16:06.812,Neutral,0.6754
2026-04-23T17:16:06.869,Neutral,0.4174
2026-04-23T17:16:06.965,Neutral,0.5967
2026-04-23T17:16:06.981,Fear,0.9995
2026-04-23T17:16:07.077,Fear,0.3892
2026-04-23T17:16:07.137,Fear,0.9996
2026-04-23T17:16:07.198,Surprise,0.9915
2026-04-23T17:16:07.211,Fear,0.9996
2026-04-23T17:16:07.307,Surprise,0.9244
2026-04-23T17:16:07.322,Fear,0.9996
2026-04-23T17:16:07.437,Surprise,0.9424
2026-04-23T17:16:07.454,Fear,0.9996
2026-04-23T17:16:07.551,Angry,0.8010
2026-04-23T17:16:07.681,Angry,0.4056
2026-04-23T17:16:07.696,Fear,0.9996
2026-04-23T17:16:07.785,Angry,0.8761
2026-04-23T17:16:07.800,Fear,0.9996
2026-04-23T17:16:07.906,Angry,0.5098
2026-04-23T17:16:07.922,Fear,0.9996
2026-04-23T17:16:07.935,Fear,0.7257
2026-04-23T17:16:08.047,Angry,0.4183
2026-04-23T17:16:08.061,Fear,0.9400
2026-04-23T17:16:08.146,Sad,0.3770
2026-04-23T17:16:08.249,Sad,0.4144
2026-04-23T17:16:08.330,Sad,0.4117
2026-04-23T17:16:08.457,Angry,0.3608
2026-04-23T17:16:08.530,Sad,0.4154
2026-04-23T17:16:08.654,Fear,0.3839
2026-04-23T17:16:08.791,Sad,0.4259
2026-04-23T17:16:08.892,Sad,0.4636
2026-04-23T17:16:08.973,Sad,0.3843
2026-04-23T17:16:09.092,Sad,0.4019
2026-04-23T17:16:09.191,Sad,0.4480
2026-04-23T17:16:09.206,Fear,0.9996
2026-04-23T17:16:09.275,Neutral,0.9686
2026-04-23T17:16:09.326,Sad,0.4636
2026-04-23T17:16:09.414,Sad,0.4268
2026-04-23T17:16:09.517,Sad,0.4212
2026-04-23T17:16:09.533,Fear,0.9996
2026-04-23T17:16:09.627,Sad,0.4498
2026-04-23T17:16:09.712,Angry,0.5161
2026-04-23T17:16:09.799,Angry,0.5730
2026-04-23T17:16:09.910,Angry,0.6415
2026-04-23T17:16:09.923,Neutral,0.8642
2026-04-23T17:16:10.007,Angry,0.3684
2026-04-23T17:16:10.088,Neutral,0.9413
2026-04-23T17:16:10.134,Angry,0.6604
2026-04-23T17:16:10.229,Angry,0.4590
2026-04-23T17:16:10.243,Fear,0.9996
2026-04-23T17:16:10.319,Angry,0.5186
2026-04-23T17:16:10.333,Neutral,0.9143
2026-04-23T17:16:10.418,Angry,0.3589
2026-04-23T17:16:10.433,Fear,0.9996
2026-04-23T17:16:10.537,Angry,0.5138
2026-04-23T17:16:10.589,Neutral,0.7605
2026-04-23T17:16:10.635,Angry,0.6334
2026-04-23T17:16:10.652,Fear,0.9995
2026-04-23T17:16:10.717,Neutral,0.9331
2026-04-23T17:16:10.765,Angry,0.6332
2026-04-23T17:16:10.841,Neutral,0.8994
2026-04-23T17:16:10.883,Angry,0.4978
2026-04-23T17:16:11.005,Angry,0.5155
2026-04-23T17:16:11.018,Fear,0.9996
2026-04-23T17:16:11.094,Angry,0.4062
2026-04-23T17:16:11.109,Fear,0.9995
2026-04-23T17:16:11.197,Angry,0.5389
2026-04-23T17:16:11.210,Fear,0.9996
2026-04-23T17:16:11.285,Angry,0.3866
2026-04-23T17:16:11.300,Fear,0.9996
2026-04-23T17:16:11.411,Angry,0.4043
2026-04-23T17:16:11.427,Fear,0.9996
2026-04-23T17:16:11.539,Fear,0.3569
2026-04-23T17:16:11.553,Fear,0.9996
2026-04-23T17:16:11.625,Fear,0.9995
2026-04-23T17:16:11.673,Neutral,0.2972
2026-04-23T17:16:11.686,Fear,0.7972
2026-04-23T17:16:11.759,Fear,0.9996
2026-04-23T17:16:11.815,Happy,0.6538
2026-04-23T17:16:11.922,Fear,0.3584
2026-04-23T17:16:12.043,Neutral,0.3311
2026-04-23T17:16:12.058,Fear,0.9996
2026-04-23T17:16:12.162,Fear,0.8823
2026-04-23T17:16:12.177,Fear,0.9996
2026-04-23T17:16:12.190,Fear,0.9992
2026-04-23T17:16:12.254,Fear,0.9996
2026-04-23T17:16:12.307,Fear,0.9629
2026-04-23T17:16:12.397,Fear,0.5355
2026-04-23T17:16:12.413,Fear,0.9995
2026-04-23T17:16:12.508,Neutral,0.7236
2026-04-23T17:16:12.604,Fear,0.6876
2026-04-23T17:16:12.659,Happy,0.5501
2026-04-23T17:16:12.715,Fear,0.8385
2026-04-23T17:16:12.811,Fear,0.2943
2026-04-23T17:16:12.825,Fear,0.9996
2026-04-23T17:16:12.840,Surprise,0.3529
2026-04-23T17:16:12.932,Fear,0.7316
2026-04-23T17:16:12.949,Fear,0.9995
2026-04-23T17:16:13.054,Fear,0.9906
2026-04-23T17:16:13.138,Sad,0.4344
2026-04-23T17:16:13.258,Sad,0.3803
2026-04-23T17:16:13.354,Fear,0.9995
2026-04-23T17:16:13.406,Neutral,0.5997
2026-04-23T17:16:13.788,Angry,0.3521
2026-04-23T17:16:13.940,Fear,0.7938
2026-04-23T17:16:13.993,Sad,0.4244
2026-04-23T17:16:14.091,Sad,0.3974
2026-04-23T17:16:14.216,Angry,0.3022
2026-04-23T17:16:14.315,Sad,0.9948
2026-04-23T17:16:14.389,Happy,0.9319
2026-04-23T17:16:14.470,Angry,0.5831
2026-04-23T17:16:14.554,Angry,0.7002
2026-04-23T17:16:14.656,Angry,0.4545
2026-04-23T17:16:14.751,Fear,0.9015
